StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Participant_ID,Scenario,SecondaryTask,AlertEffectiveness,Understandability,Comprehension,Timing,SA_takeover,SA_traffic,SA_overall,SA_HiddenObj,Trust,Satisfaction_Overall,Confidence,Annoyance,Feedback,Perception1_urgency,Perception1_annoy,Perception2_urgency,Perception2_annoy,CompareEffective,CutomizableAlert,ComparedPreferAlert,PreferenceReason
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Please enter the assigned participant ID (Given by the researcher),Which scenario did you just completed?,How mentally demanding did you find the secondary task during the simulation?,"On a scale of 1 to 5, how well did the visual (message on the dashboard) and sound alerts successfully captured your attention?",Were the alerts presented in a way that was easy to understand?,Did the alert design enhance your ability to quickly comprehend the situation and respond accordingly?,How satisfied were you with the timing of the alerts?,Did the alerts provide you with timely information about the need to take over control?,How aware were you of the surrounding traffic conditions while using the automated driving system?,To what extent did the alerts contribute to your overall awareness of the driving situation?,Did you observe any of the following while driving in the last scenario?,"On a scale of 1 to 5, how much did you trust the autopilot system?",How satisfied were you with the overall design of the take-over request alerts?,How confident do you feel in your ability to take over control when prompted by the alerts?,Did the alert system cause any annoyance during the takeover?,"Section 4: Optional Feedback

Please provide any additional comments or suggestions regarding the take-over request alerts, including thoughts on the timing of the alerts, and the overall driving experience in this scenario.","On a scale of 1 to 5, how urgent did you feel when you heard the alert sound?","On a scale of 1 to 5, how annoyed did you feel when you heard this alert sound?","On a scale of 1 to 5, how urgent did you feel when you heard the alert sound?","On a scale of 1 to 5, how annoyed did you feel when you heard this alert sound?",Which alert were more effective in grabbing your attention?,"On a scale of 1 to 5, how comfortable are you with the idea of customizing visual and sound alert settings based on your preferences or the nature of the alert?","If given the choice, which set of alert would you prefer more to use or engage with? Why?",Reason for your preference (optional)
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID67""}","{""ImportId"":""QID64""}","{""ImportId"":""QID122""}","{""ImportId"":""QID33""}","{""ImportId"":""QID63""}","{""ImportId"":""QID50""}","{""ImportId"":""QID52""}","{""ImportId"":""QID34""}","{""ImportId"":""QID53""}","{""ImportId"":""QID35""}","{""ImportId"":""QID139""}","{""ImportId"":""QID55""}","{""ImportId"":""QID58""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID124""}","{""ImportId"":""QID128""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID136""}","{""ImportId"":""QID137""}","{""ImportId"":""QID138_TEXT""}"
2024-02-23 16:31:22,2024-02-23 16:39:33,IP Address,129.97.124.2,100,491,True,2024-02-23 16:39:34,R_3g7oPLRX8Z7nkVm,,,,,43.469,-80.498,anonymous,EN,0.800000011920929,5178,1st Scenario,Extremely Easy,,Somewhat agree,Somewhat agree,Slightly late,Somewhat agree,Moderately aware,Very much,,,Strongly satisfied,Moderately confident,Not annoying at all,"Because it was the first scenario, and it was new for me, at first I didnt totally trust on the system but after a while it became easier to not to check everything after I answer each question and when I heard the alert at first I didnt understand what's going on but I knew that I have to do something but when I saw the cars I think that was a little late and I needed to change the line sooner than that.",,,,,,,,
2024-02-23 16:47:29,2024-02-23 16:51:02,IP Address,129.97.124.2,100,212,True,2024-02-23 16:51:02,R_60hHapgbCVy6Vjz,,,,,43.469,-80.498,anonymous,EN,0.800000011920929,5178,2nd Scenario,Easy,,Strongly agree,Strongly agree,Just right,Strongly agree,Moderately aware,Very much,A Moose,,Somewhat satisfied,Moderately confident,Not annoying at all,This time it was easier. Only because the weather was not as clear as the previous te again i felt i need to check the serrounding a little.,,,,,,,,
2024-02-23 17:05:11,2024-02-23 17:12:35,IP Address,129.97.124.2,100,444,True,2024-02-23 17:12:36,R_6KHI5hle1LiuI1B,,,,,43.469,-80.498,anonymous,EN,0.800000011920929,5178,3rd Scenario,Demanding,,Strongly agree,Strongly agree,Just right,Strongly agree,Somewhat aware,Completely,,,Strongly satisfied,Very confident,Not annoying at all,"The first time that there was a car in my lane, I didnt hear the sound to taking over but I was not sure whether it is better to wait for that or it is better to take action ASAP so I tried to not to  wait for that. I told myself that it is better to change the lane and not to wait for the sound but the second time if there wasnt the alert i didnt understand that i need to change my lane. ",,,,,,,,
2024-02-23 17:23:39,2024-02-23 17:28:10,IP Address,129.97.124.2,100,271,True,2024-02-23 17:28:11,R_7uNwG44f9fScd8q,,,,,43.469,-80.498,anonymous,EN,0.800000011920929,5178,4th Scenario,Demanding,,Strongly agree,Somewhat agree,Too late,Strongly agree,Not aware at all,Moderately,,,Somewhat disatisfied,Not confident at all,Not annoying at all,It wasnt annoying but this timw i feel confident to put the speed on 120 and when i heard the alert it was too late on that speed to take action. I prefered to hear it a little sooner becaus my speed was higher this time and I was sure that I would here the sound when it is necessary to do sething but I think it was a little late for my speed.,,,,,,,,
2024-02-23 18:24:32,2024-02-23 18:30:23,IP Address,129.97.124.2,100,351,True,2024-02-23 18:30:24,R_12KxVgSq3gmQrzr,,,,,43.469,-80.498,anonymous,EN,0.30000001192092896,6423,1st Scenario,Moderate,,Somewhat agree,Somewhat agree,Slightly late,Somewhat agree,Moderately aware,Moderately,A Moose,,Somewhat satisfied,Somewhat confident,Not annoying at all,It would be nicer if the system could tell where the source that trigger the alerts are coming from.,,,,,,,,
2024-02-23 18:38:46,2024-02-23 18:43:05,IP Address,129.97.124.2,100,259,True,2024-02-23 18:43:06,R_5JKL9CVdjYBY5pf,,,,,43.469,-80.498,anonymous,EN,0.699999988079071,6423,2nd Scenario,Moderate,,Neither agree nor disagree,Somewhat agree,Just right,Somewhat agree,Moderately aware,Moderately,"A Fire Truck,A Moose",,Somewhat satisfied,Moderately confident,Not annoying at all,I coule adapt to the alert more for this second scenario.,,,,,,,,
2024-02-23 18:56:53,2024-02-23 19:00:01,IP Address,129.97.124.2,100,187,True,2024-02-23 19:00:02,R_5PRlxEtBNFistXl,,,,,43.469,-80.498,anonymous,EN,0.699999988079071,6423,3rd Scenario,Moderate,,Neither agree nor disagree,Neither agree nor disagree,Just right,Somewhat agree,Moderately aware,Moderately,,,Neither satisfied nor disatisfied,Moderately confident,Not annoying at all,,,,,,,,,
2024-02-23 19:06:40,2024-02-23 19:10:36,IP Address,129.97.124.2,100,236,True,2024-02-23 19:10:36,R_3m80TmOZuYDRYO4,,,,,43.469,-80.498,anonymous,EN,0.30000001192092896,6423,4th Scenario,Moderate,,Neither agree nor disagree,Somewhat agree,Just right,Somewhat agree,Moderately aware,Very much,Car Crashes,,Somewhat satisfied,Moderately confident,Not annoying at all,,,,,,,,,
2024-02-26 16:11:20,2024-02-26 17:09:31,IP Address,129.97.124.1,100,3491,True,2024-02-26 17:09:32,R_7JtwxEL7nxqXRGK,,,,,43.469,-80.498,anonymous,EN,1,5037,1st Scenario,Extremely Easy,,Somewhat disagree,Somewhat disagree,Slightly late,Neither agree nor disagree,Extremely aware,Slightly,,,Strongly disatisfied,Very confident,Not annoying at all,,,,,,,,,
2024-02-26 17:27:35,2024-02-26 17:30:02,IP Address,129.97.124.1,100,147,True,2024-02-26 17:30:02,R_6pxjQXowkUNfhYt,,,,,43.469,-80.498,anonymous,EN,0.8999999761581421,5037,2nd Scenario,Demanding,,Somewhat agree,Neither agree nor disagree,Just right,Somewhat agree,Moderately aware,Slightly,,,Somewhat disatisfied,Moderately confident,Slightly annoying,,,,,,,,,
2024-02-26 17:38:28,2024-02-26 17:40:38,IP Address,129.97.124.1,100,129,True,2024-02-26 17:40:39,R_1j9it6IpAFxM9Xz,,,,,43.469,-80.498,anonymous,EN,0.8999999761581421,5037,3rd Scenario,Moderate,,Somewhat agree,Strongly agree,Slightly late,Somewhat agree,Moderately aware,Very much,A Moose,,Somewhat satisfied,Moderately confident,Slightly annoying,,,,,,,,,
2024-02-26 17:50:49,2024-02-26 17:53:09,IP Address,129.97.124.1,100,139,True,2024-02-26 17:53:09,R_5JCN2BigCEHXzqo,,,,,43.469,-80.498,anonymous,EN,0.8999999761581421,5037,4th Scenario,Extremely Easy,,Strongly agree,Strongly agree,Just right,Neither agree nor disagree,Somewhat aware,Very much,"Car Crashes,A Moose",,Somewhat satisfied,Moderately confident,Not annoying at all,,,,,,,,,
2024-02-27 15:02:07,2024-02-27 16:01:53,IP Address,129.97.124.15,100,3585,True,2024-02-27 16:01:53,R_5ZJIS5dTftAwEF3,,,,,43.469,-80.498,anonymous,EN,1,2765,1st Scenario,Moderate,,Somewhat disagree,Somewhat agree,Just right,Somewhat agree,Moderately aware,Moderately,,,Somewhat satisfied,Moderately confident,Moderately annoying,,,,,,,,,
2024-02-27 16:02:06,2024-02-27 16:04:40,IP Address,129.97.124.15,100,154,True,2024-02-27 16:04:41,R_30ufRiTD7gUQe8V,,,,,43.469,-80.498,anonymous,EN,0.8999999761581421,2765,2nd Scenario,Moderate,,Somewhat disagree,Somewhat disagree,Just right,Strongly agree,Extremely aware,Very much,A Cyclist,,Somewhat satisfied,Very confident,Moderately annoying,,,,,,,,,
2024-02-27 16:12:47,2024-02-27 16:14:28,IP Address,129.97.124.15,100,101,True,2024-02-27 16:14:28,R_7fCa4hH0ar7HdOa,,,,,43.469,-80.498,anonymous,EN,0.8999999761581421,2765,3rd Scenario,Easy,,Somewhat agree,Somewhat agree,Just right,Somewhat agree,Extremely aware,Completely,A Moose,,Somewhat satisfied,Moderately confident,Moderately annoying,,,,,,,,,
2024-02-27 16:27:59,2024-02-27 16:29:52,IP Address,129.97.124.15,100,113,True,2024-02-27 16:29:53,R_1fINjNWVNtf75Zy,,,,,43.469,-80.498,anonymous,EN,0.8999999761581421,2765,4th Scenario,Easy,,Somewhat agree,Somewhat agree,Just right,Somewhat agree,Extremely aware,Moderately,"Car Crashes,An Ambulance,A Moose",,Somewhat satisfied,Moderately confident,Slightly annoying,,,,,,,,,
2024-02-29 12:42:27,2024-02-29 12:45:07,IP Address,129.97.124.25,100,159,True,2024-02-29 12:45:07,R_6nbesHFMfuqDAzf,,,,,43.469,-80.498,anonymous,EN,1,7201,1st Scenario,Extremely Easy,,Strongly agree,Somewhat agree,Just right,Strongly agree,Moderately aware,Very much,"Car Crashes,A Fire Truck",,Strongly satisfied,Extremely confident,Not annoying at all,,,,,,,,,
2024-02-29 13:02:42,2024-02-29 13:05:15,IP Address,129.97.124.25,100,152,True,2024-02-29 13:05:15,R_628UWiWY7RCMmzY,,,,,43.469,-80.498,anonymous,EN,0.8999999761581421,7201,2nd Scenario,Moderate,,Strongly agree,Strongly agree,Slightly late,Somewhat agree,Very aware,Very much,Car Crashes,,Somewhat satisfied,Extremely confident,Not annoying at all,,,,,,,,,
2024-02-29 13:14:38,2024-02-29 13:16:22,IP Address,129.97.124.25,100,104,True,2024-02-29 13:16:23,R_7MUYVuVA00GrWjT,,,,,43.469,-80.498,anonymous,EN,0.8999999761581421,7201,3rd Scenario,Extremely Demanding,,Strongly agree,Somewhat agree,Slightly late,Somewhat agree,Extremely aware,Very much,A Moose,,Somewhat satisfied,Extremely confident,Not annoying at all,,,,,,,,,
2024-02-29 13:23:25,2024-02-29 13:26:22,IP Address,129.97.124.25,100,176,True,2024-02-29 13:26:22,R_3fx1Bq6MjEvmoh3,,,,,43.469,-80.498,anonymous,EN,0.8999999761581421,7201,4th Scenario,Demanding,,Strongly agree,Neither agree nor disagree,Too late,Somewhat disagree,Very aware,Completely,An Ambulance,,Strongly satisfied,Extremely confident,Not annoying at all,,,,,,,,,
2024-02-29 18:06:07,2024-02-29 18:13:07,IP Address,129.97.124.25,100,419,True,2024-02-29 18:13:08,R_6PITGVL2SUawC3f,,,,,43.469,-80.498,anonymous,EN,1,2156,1st Scenario,Easy,,Somewhat agree,Somewhat disagree,Slightly late,Somewhat disagree,Moderately aware,Moderately,Car Crashes,,Neither satisfied nor disatisfied,Somewhat confident,Slightly annoying,"First, I cannot remmeber now what the alerts said on the screen. I only recall beep sound with some text. There were two attentions I needed to pay for - a road closure and a car speeding up in the right. I am not even sure which one the alertbwas targeting to. So I think it might better if there were alert/flashing light on the right mirror too.",,,,,,,,
2024-02-29 18:20:36,2024-02-29 18:27:01,IP Address,129.97.124.25,100,384,True,2024-02-29 18:27:01,R_76DnPmO7I2dDulr,,,,,43.469,-80.498,anonymous,EN,1,2156,2nd Scenario,Moderate,,Somewhat disagree,Neither agree nor disagree,Just right,Somewhat agree,Extremely aware,Moderately,A Moose,,Strongly disatisfied,Moderately confident,Moderately annoying,"I think wording like ""potential take-over"" popping up on console screen is not the best way to prompt thebdriver. For times like this that requires me to instantly brake, the last thing I would ever want to do is getting distracted from the front view. Better if the sound was designed in a unique way that the driver learns it once and understand that every time it requirew take-overs.",,,,,,,,
2024-02-29 18:34:52,2024-02-29 18:40:46,IP Address,129.97.124.25,100,354,True,2024-02-29 18:40:47,R_62QlnGzAXlh9RHG,,,,,43.469,-80.498,anonymous,EN,1,2156,3rd Scenario,Demanding,,Neither agree nor disagree,Somewhat disagree,Slightly late,Neither agree nor disagree,Very aware,Moderately,A Cyclist,,Neither satisfied nor disatisfied,Moderately confident,Not annoying at all,"I personally am a kind of person who would be more aware of what could happen every time I see a big/high truck/vehicle. So, I was guessing something might happen when I saw the vehicle far away and was ready to take control before the alert came up. However, the way the alert sounds was not thay annoying and quite helpful in this case though.",,,,,,,,
2024-02-29 18:51:30,2024-02-29 18:58:57,IP Address,129.97.124.25,100,447,True,2024-02-29 18:58:58,R_3DHZj5FQdjc7hH8,,,,,43.469,-80.498,anonymous,EN,1,2156,4th Scenario,Demanding,,Somewhat agree,Somewhat agree,Just right,Somewhat agree,Very aware,Very much,A Fire Truck,,Neither satisfied nor disatisfied,Moderately confident,Not annoying at all,"The text showing up when alerting could be better. I dont remember exactly but it kinda said something generic. I believe the detection system could have detected that a car was pulling off from the right, so the text could be improved to something like ""attention on the front right"" or ""a car pulling off from the right""",,,,,,,,
2024-03-01 16:42:24,2024-03-01 16:45:25,IP Address,129.97.124.26,100,181,True,2024-03-01 16:45:26,R_3lrhi1734J81OyB,,,,,43.469,-80.498,anonymous,EN,1,1423,1st Scenario,Demanding,,Strongly agree,Somewhat agree,Slightly late,Somewhat agree,Very aware,Moderately,Car Crashes,,Somewhat satisfied,Moderately confident,Slightly annoying,I think the timing of the allert should be a bit earlier and instad of saying be vigilant maybe saying something is ahead and pay attention.,,,,,,,,
2024-03-01 16:54:00,2024-03-01 16:56:02,IP Address,129.97.124.26,100,121,True,2024-03-01 16:56:02,R_7V39OZUC1m1pC0x,,,,,43.469,-80.498,anonymous,EN,0.8999999761581421,1423,2nd Scenario,Extremely Demanding,,Somewhat agree,Strongly disagree,Too late,Somewhat agree,Moderately aware,Slightly,"Car Crashes,A Cyclist",,Neither satisfied nor disatisfied,Somewhat confident,Slightly annoying,The alert was given too late giving me almost no time to take action.,,,,,,,,
2024-03-01 17:04:36,2024-03-01 17:07:23,IP Address,129.97.124.26,100,166,True,2024-03-01 17:07:23,R_7NyRwS2qCXycD1P,,,,,43.469,-80.498,anonymous,EN,0.8999999761581421,1423,3rd Scenario,Demanding,,Somewhat agree,Neither agree nor disagree,Just right,Somewhat disagree,Moderately aware,Slightly,"An Ambulance,A Moose",,Somewhat satisfied,Moderately confident,Not annoying at all,The alert system was not helping this time. Maybe I took actiob earlier so I was more vigilant myself beforehand.,,,,,,,,
2024-03-01 17:18:10,2024-03-01 17:20:45,IP Address,129.97.124.26,100,155,True,2024-03-01 17:20:45,R_5Sc72ArwOmFYENV,,,,,43.469,-80.498,anonymous,EN,0.8999999761581421,1423,4th Scenario,Easy,,Somewhat agree,Somewhat agree,Slightly late,Somewhat agree,Somewhat aware,Very much,Car Crashes,,Somewhat disatisfied,Very confident,Not annoying at all,This time the alerts were more understanable for me and easier and i could take action better. Again the title of allerts could be different. Something like a block ahead.,,,,,,,,
2024-03-02 10:55:16,2024-03-02 11:02:04,IP Address,129.97.124.8,100,408,True,2024-03-02 11:02:05,R_3RU05D0LvAP6g65,,,,,43.469,-80.498,anonymous,EN,1,3984,1st Scenario,Moderate,,Strongly agree,Strongly agree,Just right,Strongly agree,Moderately aware,Completely,Car Crashes,,Strongly satisfied,Moderately confident,Slightly annoying,"I would have preferred the alert came a little earlier. The timing was sufticient for a takeover but it still rattled me a bit, I think if I was alerted we earlier I would have had more time to readjust and take assume control.",,,,,,,,
2024-03-02 11:10:23,2024-03-02 11:13:04,IP Address,129.97.124.8,100,160,True,2024-03-02 11:13:04,R_5R3fOlK1GFfpSeB,,,,,43.469,-80.498,anonymous,EN,0.8999999761581421,3984,2nd Scenario,Easy,,Strongly agree,Strongly agree,Slightly early,Strongly agree,Extremely aware,Completely,A Moose,,Strongly satisfied,Extremely confident,Not annoying at all,Satisfied,,,,,,,,
2024-03-02 11:22:15,2024-03-02 11:26:02,IP Address,129.97.124.8,100,227,True,2024-03-02 11:26:03,R_3ZHv0Y3ODcRtiVT,,,,,43.469,-80.498,anonymous,EN,0.8999999761581421,3984,3rd Scenario,Demanding,,Somewhat agree,Somewhat agree,Just right,Somewhat agree,Very aware,Very much,A Fire Truck,,Somewhat satisfied,Moderately confident,Not annoying at all,"Much more satisfied but the alert could be more descriptive. Maybe accompanied by a voice that says ""take over"".",,,,,,,,
