FrontCollision,Collision,ObservedHiddenObject,SA_HiddenObj-1 - Split 1,SA_HiddenObj-1 - Split 2,SA_HiddenObj-1 - Split 3,participant_ID,scenario,group,Sim_freq,Appointment Date,scenario_order,design,secondaryTask,test_start_datetime,participant_ID-1,design-1,scenario-1,scenario_order-1,test_start_date_time,test_start_datetime-1,triggerID,triggerBeginSTEP,triggerBeginDatetime,triggerLastSTEP,triggerLastDatetime,participant_ID-2,group-1,design-2,scenario-3,Max_Brake_Acceleration,Max_lateral_Acceleration_Neg,Max_lateral_Acceleration_Pos,Min_front_Distance,Error_from_LaneCenter,AP_Off_Step,Takeover_Before_Alert,AEBMinDistance,AEBMinTimeThreshold,collisions,Participant_ID-1,Scenario-1,SecondaryTask-1,AlertEffectiveness-1,Understandability-1,Comprehension-1,Timing-1,SA_takeover-1,SA_traffic-1,SA_overall-1,SA_HiddenObj-1,Trust-1,Satisfaction_Overall-1,Confidence-1,Annoyance-1,Feedback-1,Perception1_urgency-1,Perception1_annoy-1,Perception2_urgency-1,Perception2_annoy-1,CompareEffective-1,CutomizableAlert-1,ComparedPreferAlert-1,PreferenceReason-1,Participant_ID,Scenario,SecondaryTask,AlertEffectiveness,Understandability,Comprehension,Timing,SA_takeover,SA_traffic,SA_overall,SA_HiddenObj,Trust,Satisfaction_Overall,Confidence,Annoyance,Feedback,Perception1_urgency,Perception1_annoy,Perception2_urgency,Perception2_annoy,CompareEffective,CutomizableAlert,ComparedPreferAlert,PreferenceReason,scenario_no,secondaryTask2,expGroup,Groups,CorrectHiddenObject,scenario_no-1,participant_ID-3,scenario-2,collisionTimeAfterTakeover(s)
,,False,,,,5178,A3,Single - Strong,1000,2024-02-23 4:00:00 p.m.,3rd Scenario,X,H,2024-02-23 9:52:50 p.m.,5178,X,A3,3rd Scenario,1708725170,2024-02-23 9:52:50 p.m.,3,741933,,770022,,5178,Single - Strong,X,A3,,-0.11636372,-0.06036046,27.69403941,-1.70334333,746033,False,27.66602612,10,0,5178,3rd Scenario,Demanding,,Strongly agree,Strongly agree,Just right,Strongly agree,Somewhat aware,Completely,,,Strongly satisfied,Very confident,Not annoying at all,"The first time that there was a car in my lane, I didnt hear the sound to taking over but I was not sure whether it is better to wait for that or it is better to take action ASAP so I tried to not to  wait for that. I told myself that it is better to change the lane and not to wait for the sound but the second time if there wasnt the alert i didnt understand that i need to change my lane. ",,,,,,,,,5178,3,4,,5,1,5,5,2,5,,,5,4,1,"The first time that there was a car in my lane, I didnt hear the sound to taking over but I was not sure whether it is better to wait for that or it is better to take action ASAP so I tried to not to  wait for that. I told myself that it is better to change the lane and not to wait for the sound but the second time if there wasnt the alert i didnt understand that i need to change my lane. ",,,,,,,,,3,H,Single,Strong,A Cyclist,3,,,
,,False,,,,5178,A1,Single - Strong,1000,2024-02-23 4:00:00 p.m.,4th Scenario,X,H,2024-02-23 10:11:29 p.m.,5178,X,A1,4th Scenario,1708726289,2024-02-23 10:11:29 p.m.,3,710353,,720352,,5178,Single - Strong,X,A1,,-0.1988943,-0.09763741,40.2929037,-1.59275236,709502,True,2.36822708,10,0,5178,4th Scenario,Demanding,,Strongly agree,Somewhat agree,Too late,Strongly agree,Not aware at all,Moderately,,,Somewhat disatisfied,Not confident at all,Not annoying at all,It wasnt annoying but this timw i feel confident to put the speed on 120 and when i heard the alert it was too late on that speed to take action. I prefered to hear it a little sooner becaus my speed was higher this time and I was sure that I would here the sound when it is necessary to do sething but I think it was a little late for my speed.,,,,,,,,,5178,4,4,,5,2,1,5,1,3,,,2,1,1,It wasnt annoying but this timw i feel confident to put the speed on 120 and when i heard the alert it was too late on that speed to take action. I prefered to hear it a little sooner becaus my speed was higher this time and I was sure that I would here the sound when it is necessary to do sething but I think it was a little late for my speed.,,,,,,,,,1,H,Single,Strong,A Moose,1,,,
,,False,,,,6423,B3,Single - Strong,1000,2024-02-23 5:40:00 p.m.,3rd Scenario,X,H,2024-02-23 11:45:39 p.m.,6423,X,B3,3rd Scenario,1708731939,2024-02-23 11:45:39 p.m.,3,681752,,691752,,6423,Single - Strong,X,B3,-0.6105707,-0.07514195,-0.04037073,52.49762438,-0.99079751,669752,True,-2.18805528,10,0,6423,3rd Scenario,Moderate,,Neither agree nor disagree,Neither agree nor disagree,Just right,Somewhat agree,Moderately aware,Moderately,,,Neither satisfied nor disatisfied,Moderately confident,Not annoying at all,,,,,,,,,,6423,3,3,,3,3,5,4,3,3,,,3,3,1,,,,,,,,,,3,H,Single,Strong,A Cyclist,3,,,
,,False,Car Crashes,,,6423,B4,Single - Strong,1000,2024-02-23 5:40:00 p.m.,4th Scenario,X,H,2024-02-24 12:01:02 a.m.,6423,X,B4,4th Scenario,1708732862,2024-02-24 12:01:02 a.m.,3,311623,,321621,,6423,Single - Strong,X,B4,-0.37102859,0.01782253,0.03592052,27.41012719,-0.47868684,313147,False,1.83312988,5.50010804,0,6423,4th Scenario,Moderate,,Neither agree nor disagree,Somewhat agree,Just right,Somewhat agree,Moderately aware,Very much,Car Crashes,,Somewhat satisfied,Moderately confident,Not annoying at all,,,,,,,,,,6423,4,3,,3,2,5,4,3,4,1,,4,3,1,,,,,,,,,,4,H,Single,Strong,An Ambulance,4,,,
,,False,,,,5037,A4,Single - Soft,1000,2024-02-26 4:30:00 p.m.,1st Scenario,Y,0,2024-02-26 9:53:44 p.m.,5037,Y,A4,1st Scenario,1708984424,2024-02-26 9:53:44 p.m.,2,404523,,414522,,5037,Single - Soft,Y,A4,-0.4261246,-0.01245004,0.00683626,14.23575708,-0.41975549,410510,False,14.17224836,1.12496734,0,5037,1st Scenario,Extremely Easy,,Somewhat disagree,Somewhat disagree,Slightly late,Neither agree nor disagree,Extremely aware,Slightly,,,Strongly disatisfied,Very confident,Not annoying at all,,,,,,,,,,5037,1,1,,2,4,3,3,5,2,,,1,4,1,,,,,,,,,,4,0,Single,Mild,An Ambulance,4,,,
,,False,,,,5037,A3,Single - Soft,1000,2024-02-26 4:30:00 p.m.,2nd Scenario,Y,0,2024-02-26 10:11:07 p.m.,5037,Y,A3,2nd Scenario,1708985467,2024-02-26 10:11:07 p.m.,,,,,,,,,,,,,,,,,,,,5037,2nd Scenario,Demanding,,Somewhat agree,Neither agree nor disagree,Just right,Somewhat agree,Moderately aware,Slightly,,,Somewhat disatisfied,Moderately confident,Slightly annoying,,,,,,,,,,5037,2,4,,4,3,5,4,3,2,,,2,3,2,,,,,,,,,,3,0,Single,Mild,A Cyclist,3,,,
,,False,A Moose,,,5037,A2,Single - Soft,1000,2024-02-26 4:30:00 p.m.,3rd Scenario,Y,H,2024-02-26 10:32:01 p.m.,5037,Y,A2,3rd Scenario,1708986721,2024-02-26 10:32:01 p.m.,2,374632,,384632,,5037,Single - Soft,Y,A2,-0.61528345,,,35.4413537,-0.51551384,362632,False,-0.20394039,10,0,5037,3rd Scenario,Moderate,,Somewhat agree,Strongly agree,Slightly late,Somewhat agree,Moderately aware,Very much,A Moose,,Somewhat satisfied,Moderately confident,Slightly annoying,,,,,,,,,,5037,3,3,,4,1,3,4,3,4,4,,4,3,2,,,,,,,,,,2,H,Single,Mild,A Fire Truck,2,,,
,,True,Car Crashes,A Moose,,5037,A1,Single - Soft,1000,2024-02-26 4:30:00 p.m.,4th Scenario,Y,H,2024-02-26 10:41:42 p.m.,5037,Y,A1,4th Scenario,1708987302,2024-02-26 10:41:42 p.m.,2,548413,,558412,,5037,Single - Soft,Y,A1,,0.02233354,0.03715671,112.03543874,-1.47657629,551404,False,2.23368813,10,0,5037,4th Scenario,Extremely Easy,,Strongly agree,Strongly agree,Just right,Neither agree nor disagree,Somewhat aware,Very much,"Car Crashes,A Moose",,Somewhat satisfied,Moderately confident,Not annoying at all,,,,,,,,,,5037,4,1,,5,1,5,3,2,4,"1,4",,4,3,1,,,,,,,,,,1,H,Single,Mild,A Moose,1,,,
,,False,A Moose,,,2765,B2,Dynamic,1000,2024-02-27 3:00:00 p.m.,3rd Scenario,X,H,2024-02-27 9:06:21 p.m.,2765,X,B2,3rd Scenario,1709067981,2024-02-27 9:06:21 p.m.,3,383043,,393042,,2765,Dynamic,X,B2,-0.5340406,-0.03851338,-0.0354993,53.92135204,-0.30411701,386982,False,53.35390186,10,0,2765,3rd Scenario,Easy,,Somewhat agree,Somewhat agree,Just right,Somewhat agree,Extremely aware,Completely,A Moose,,Somewhat satisfied,Moderately confident,Moderately annoying,,,,,,,,,,2765,3,2,,4,2,5,4,5,5,4,,4,3,3,,,,,,,,,,2,H,Dynamic,Dynamic,A Fire Truck,2,,,
,,True,Car Crashes,An Ambulance,A Moose,2765,B1,Dynamic,1000,2024-02-27 3:00:00 p.m.,4th Scenario,X,H,2024-02-27 9:20:35 p.m.,2765,X,B1,4th Scenario,1709068835,2024-02-27 9:20:35 p.m.,3,405923,,406481,,2765,Dynamic,X,B1,-0.33979266,-0.00654916,0.02443925,104.04185889,-1.70662607,402631,True,3.39015652,10,0,2765,4th Scenario,Easy,,Somewhat agree,Somewhat agree,Just right,Somewhat agree,Extremely aware,Moderately,"Car Crashes,An Ambulance,A Moose",,Somewhat satisfied,Moderately confident,Slightly annoying,,,,,,,,,,2765,4,2,,4,2,5,4,5,3,"1,2,4",,4,3,2,,,,,,,,,,1,H,Dynamic,Dynamic,A Moose,1,,,
